date,open,high,low,close,adjusted close,volume,dividend,split,sma20,sma55,signal
2003-12-18 00:00:00,47.61,48.89,47.45,48.75,2.4375,10750700.0,0.0,1.0,52.678,49.2178,
2003-12-17 00:00:00,49.47,49.61,47.0,47.58,2.379,13856800.0,0.0,1.0,52.271,49.30634545454546,
2003-12-16 00:00:00,49.6,49.8,48.63,49.5,2.475,10549800.0,0.0,1.0,51.937,49.41543636363637,
2003-12-15 00:00:00,52.05,52.25,50.05,50.41,2.5205,9676800.0,0.0,1.0,51.6675,49.530345454545454,
2003-12-12 00:00:00,50.99,51.31,49.92,50.99,2.5495,6190600.0,0.0,1.0,51.471500000000006,49.65034545454545,
2003-12-11 00:00:00,49.26,51.15,49.19,50.8,2.54,9405500.0,0.0,1.0,51.364,49.789072727272725,
2003-12-10 00:00:00,49.45,50.17,48.31,49.2,2.46,9254600.0,0.0,1.0,51.2445,49.9198,
2003-12-09 00:00:00,51.17,51.65,49.3,49.34,2.467,10460500.0,0.0,1.0,51.1995,50.03561818181818,
2003-12-08 00:00:00,51.55,52.2,50.12,51.08,2.554,8376400.0,0.0,1.0,51.158500000000004,50.182345454545455,
2003-12-05 00:00:00,51.2,52.7,51.2,51.56,2.578,7501500.0,0.0,1.0,51.084999999999994,50.32616363636363,
2003-12-04 00:00:00,51.45,52.43,50.75,51.8,2.59,10216200.0,0.0,1.0,51.0115,50.48725454545455,
2003-12-03 00:00:00,54.1,54.25,51.36,51.51,2.5755,11570800.0,0.0,1.0,50.992000000000004,50.65434545454546,
2003-12-02 00:00:00,54.5,54.75,53.85,53.93,2.6965,6237900.0,0.0,1.0,51.0575,50.83545454545455,
2003-12-01 00:00:00,54.4,54.75,53.049,54.65,2.7325,11522800.0,0.0,1.0,51.1485,51.00781818181819,
2003-11-28 00:00:00,52.84,54.06,52.83,53.97,2.6985,3983000.0,0.0,1.0,51.173500000000004,51.17727272727273,
2003-11-26 00:00:00,52.83,53.54,51.869,52.96,2.648,8907700.0,0.0,1.0,51.148,51.324363636363636,
2003-11-25 00:00:00,51.35,53.3,51.25,52.47,2.6235,13771300.0,0.0,1.0,51.10549999999999,51.45054545454545,
2003-11-24 00:00:00,49.28,51.45,48.65,51.33,2.5665,10631500.0,0.0,1.0,51.048,51.540545454545445,
2003-11-21 00:00:00,49.002,49.2,47.76,48.58,2.429,9193400.0,0.0,1.0,50.9825,51.56818181818182,
2003-11-20 00:00:00,49.1,50.46,48.34,48.85,2.4425,12337600.0,0.0,1.0,50.963,51.59927272727273,
2003-11-19 00:00:00,48.71,49.85,47.67,49.53,2.4765,14079000.0,0.0,1.0,51.002,51.670909090909085,
2003-11-18 00:00:00,50.73,50.978,48.45,48.5,2.425,12600200.0,0.0,1.0,51.048,51.718909090909094,
2003-11-17 00:00:00,51.93,52.19,49.58,50.36,2.518,12996900.0,0.0,1.0,51.091,51.79181818181818,
2003-11-14 00:00:00,54.43,54.78,52.21,52.45,2.6225,8365300.0,0.0,1.0,51.193,51.90836363636364,
2003-11-13 00:00:00,54.04,55.13,53.57,54.8,2.74,7073000.0,0.0,1.0,51.383500000000005,52.079454545454546,
2003-11-12 00:00:00,52.57,54.29,52.11,54.13,2.7065,9259300.0,0.0,1.0,51.55,52.246545454545455,
2003-11-11 00:00:00,51.84,52.75,50.76,52.23,2.6115,10920100.0,0.0,1.0,51.701499999999996,52.31854545454546,
2003-11-10 00:00:00,53.95,54.0,51.736,51.98,2.599,9120500.0,0.0,1.0,51.8335,52.347272727272724,
2003-11-07 00:00:00,55.61,55.7,54.0,54.31,2.7155,8500400.0,0.0,1.0,51.99499999999999,52.43981818181818,
2003-11-06 00:00:00,56.81,56.87,54.75,54.99,2.7495,8791800.0,0.0,1.0,52.1665,52.49490909090909,
2003-11-05 00:00:00,56.13,56.99,56.08,56.74,2.837,5307400.0,0.0,1.0,52.4135,52.51309090909091,
2003-11-04 00:00:00,56.7,57.49,56.06,56.86,2.843,7009500.0,0.0,1.0,52.681,52.510000000000005,
2003-11-03 00:00:00,54.8,56.8,54.31,56.74,2.837,9131100.0,0.0,1.0,52.8215,52.50327272727272,
2003-10-31 00:00:00,55.9,56.13,54.38,54.43,2.7215,7726700.0,0.0,1.0,52.810500000000005,52.453272727272726,
2003-10-30 00:00:00,57.4,57.52,55.57,55.84,2.792,9825400.0,0.0,1.0,52.903999999999996,52.446727272727266,
2003-10-29 00:00:00,56.65,57.15,56.0,56.69,2.8345,8776500.0,0.0,1.0,53.0905,52.44818181818182,
2003-10-28 00:00:00,55.19,56.9,54.549,56.73,2.8365,9230900.0,0.0,1.0,53.3035,52.466545454545454,
2003-10-27 00:00:00,54.9,55.25,54.5,54.82,2.741,6391900.0,0.0,1.0,53.477999999999994,52.441818181818185,
2003-10-24 00:00:00,54.55,54.94,53.0,54.509,2.72545,10438200.0,0.0,1.0,53.77445,52.41834545454545,
2003-10-23 00:00:00,52.98,54.52,52.91,54.32,2.716,14611700.0,0.0,1.0,54.04795,52.40761818181818,
2003-10-22 00:00:00,56.05,56.15,53.73,54.03,2.7015,32701900.0,0.0,1.0,54.27295,52.42725454545455,
2003-10-21 00:00:00,59.73,61.15,59.01,59.35,2.9675,17114900.0,0.0,1.0,54.81545000000001,52.56834545454546,
2003-10-20 00:00:00,59.56,60.24,58.92,59.59,2.9795,11086100.0,0.0,1.0,55.27695,52.73834545454545,
2003-10-17 00:00:00,59.3,59.9,58.65,59.69,2.9845,11932900.0,0.0,1.0,55.63895,52.879981818181825,
2003-10-16 00:00:00,58.16,59.91,58.09,59.91,2.9955,10211100.0,0.0,1.0,55.89444999999999,53.005072727272726,
2003-10-15 00:00:00,60.39,60.41,58.43,58.54,2.927,10228900.0,0.0,1.0,56.11495,53.10089090909091,
2003-10-14 00:00:00,58.1,59.98,57.8,59.91,2.9955,9986600.0,0.0,1.0,56.49895,53.24652727272727,
2003-10-13 00:00:00,57.94,58.69,57.44,58.3,2.915,8329000.0,0.0,1.0,56.814949999999996,53.3498,
2003-10-10 00:00:00,57.7,58.33,57.439,58.06,2.903,11435400.0,0.0,1.0,57.002449999999996,53.44489090909091,
2003-10-09 00:00:00,57.41,59.1,57.4,57.86,2.893,21606900.0,0.0,1.0,57.145950000000006,53.52470909090909,
2003-10-08 00:00:00,55.44,56.28,55.12,55.7,2.785,13558000.0,0.0,1.0,57.09395000000001,53.56525454545454,
2003-10-07 00:00:00,54.0,56.25,53.95,54.91,2.7455,20299900.0,0.0,1.0,56.996449999999996,53.59416363636363,
2003-10-06 00:00:00,52.89,54.24,52.59,54.15,2.7075,7773100.0,0.0,1.0,56.866949999999996,53.62452727272727,
2003-10-03 00:00:00,51.13,53.22,51.03,52.89,2.6445,14175600.0,0.0,1.0,56.78995,53.67907272727273,
2003-10-02 00:00:00,48.94,50.2,48.68,50.09,2.5045,8219900.0,0.0,1.0,56.502449999999996,53.69452727272727,
2003-10-01 00:00:00,48.37,49.28,47.51,49.12,2.456,12563800.0,0.0,1.0,56.123949999999994,53.701254545454546,
2003-09-30 00:00:00,49.65,49.76,48.35,48.43,2.4215,9264600.0,0.0,1.0,55.70895,53.71670909090909,
2003-09-29 00:00:00,48.88,49.97,48.4,49.86,2.493,9039300.0,0.0,1.0,55.460950000000004,53.72325454545454,
2003-09-26 00:00:00,49.9,50.46,48.3,48.56,2.428,13438500.0,0.0,1.0,55.1635,53.68961818181818,
2003-09-25 00:00:00,49.66,50.95,49.28,50.05,2.5025,11033300.0,0.0,1.0,54.95,53.67252727272727,
2003-09-24 00:00:00,50.35,51.3,49.6,49.61,2.4805,15330200.0,0.0,1.0,54.729,53.65089090909091,
2003-09-23 00:00:00,47.41,50.92,47.35,50.44,2.522,20295900.0,0.0,1.0,54.283500000000004,53.67343636363637,
2003-09-22 00:00:00,46.56,47.53,46.2,47.468,2.3734,9240000.0,0.0,1.0,53.6774,53.6394,
2003-09-19 00:00:00,47.87,47.97,47.35,47.58,2.379,6249500.0,0.0,1.0,53.07190000000001,53.57576363636363,
2003-09-18 00:00:00,46.16,48.24,45.94,47.89,2.3945,9038500.0,0.0,1.0,52.47089999999999,53.50903636363637,
2003-09-17 00:00:00,46.21,46.86,45.545,46.16,2.308,7334100.0,0.0,1.0,51.8519,53.406490909090905,
2003-09-16 00:00:00,45.4,46.25,45.05,46.24,2.312,7755200.0,0.0,1.0,51.168400000000005,53.310672727272724,
2003-09-15 00:00:00,45.36,45.77,45.23,45.51,2.2755,4427000.0,0.0,1.0,50.52890000000001,53.15758181818182,
2003-09-12 00:00:00,44.85,45.781,44.73,45.68,2.284,6750100.0,0.0,1.0,49.9099,52.994490909090906,
2003-09-11 00:00:00,46.2,46.35,44.77,45.19,2.2595,11613100.0,0.0,1.0,49.2764,52.83485454545455,
2003-09-10 00:00:00,46.26,47.23,46.06,46.22,2.311,8002900.0,0.0,1.0,48.8024,52.712309090909095,
2003-09-09 00:00:00,47.1,47.38,46.3,46.68,2.334,8100800.0,0.0,1.0,48.3909,52.60703636363637,
2003-09-08 00:00:00,46.5,47.35,46.06,47.28,2.364,7408200.0,0.0,1.0,48.047399999999996,52.53339999999999,
2003-09-05 00:00:00,46.95,47.48,46.1,46.52,2.326,8102900.0,0.0,1.0,47.728899999999996,52.495945454545456,
2003-09-04 00:00:00,46.12,47.39,46.04,47.29,2.3645,10255000.0,0.0,1.0,47.5889,52.46758181818182,
2003-09-03 00:00:00,47.58,47.75,45.86,46.19,2.3095,10697900.0,0.0,1.0,47.4424,52.40685454545455,
2003-09-02 00:00:00,46.52,47.45,46.01,47.33,2.3665,9459400.0,0.0,1.0,47.3874,52.38558181818183,
2003-08-29 00:00:00,45.82,46.44,45.72,46.32,2.316,6158400.0,0.0,1.0,47.2104,52.312127272727274,
2003-08-28 00:00:00,45.94,46.0,44.81,45.94,2.297,6987500.0,0.0,1.0,47.0794,52.193763636363634,
2003-08-27 00:00:00,45.77,46.07,45.26,45.88,2.294,4539400.0,0.0,1.0,46.8709,52.03158181818182,
2003-08-26 00:00:00,45.65,46.14,45.11,45.93,2.2965,6542400.0,0.0,1.0,46.686899999999994,51.882490909090905,
2003-08-25 00:00:00,44.85,46.16,44.53,45.85,2.2925,7103500.0,0.0,1.0,46.4574,51.76649090909091,
2003-08-22 00:00:00,46.4,46.95,44.81,45.22,2.261,10473300.0,0.0,1.0,46.345,51.643581818181815,
2003-08-21 00:00:00,44.22,45.91,43.87,45.7,2.285,11592500.0,0.0,1.0,46.251,51.48703636363636,
2003-08-20 00:00:00,43.06,43.939,43.01,43.76,2.188,6724700.0,0.0,1.0,46.0445,51.28285454545455,
2003-08-19 00:00:00,43.43,44.19,42.92,43.57,2.1785,10489300.0,0.0,1.0,45.915,51.0434,
2003-08-18 00:00:00,40.5,43.24,40.38,43.02,2.151,11174200.0,0.0,1.0,45.754,50.79176363636363,
2003-08-15 00:00:00,40.23,40.38,39.97,40.1,2.005,2486500.0,0.0,1.0,45.4835,50.48921818181818,
